Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,124.500000,124.730003,122.940002,123.410004,113.211075,8130800
2020-01-03,122.160004,123.529999,121.860001,122.580002,112.449677,7970500
2020-01-06,122.570000,123.190002,122.379997,122.750000,112.605621,6674400
2020-01-07,122.879997,123.209999,121.870003,121.989998,111.908424,7583400
2020-01-08,122.190002,123.430000,122.000000,122.510002,112.385460,5385100
2020-01-09,122.510002,123.879997,122.510002,123.849998,113.614700,5944000
2020-01-10,123.900002,124.320000,123.300003,123.970001,113.724785,3927100
2020-01-13,124.000000,124.900002,123.809998,124.879997,114.559570,8409200
2020-01-14,124.650002,125.199997,124.480003,124.690002,114.385284,7829700
2020-01-15,125.059998,126.120003,125.010002,125.959999,115.550346,4843700
2020-01-16,126.110001,126.779999,125.589996,126.070000,115.651253,6233700
2020-01-17,126.349998,127.000000,125.879997,126.410004,115.963158,11315200
2020-01-21,126.410004,126.620003,124.839996,126.089996,115.669594,8553100
2020-01-22,126.330002,126.680000,125.830002,126.309998,115.871407,7396700
2020-01-23,124.300003,126.550003,123.650002,124.989998,115.341728,11096500
2020-01-24,125.220001,126.790001,124.769997,125.139999,115.480148,9508600
2020-01-27,124.750000,126.389999,124.750000,125.690002,115.987686,9338400
2020-01-28,125.930000,126.980003,125.720001,126.029999,116.301430,6200200
2020-01-29,125.910004,126.070000,125.029999,125.059998,115.406319,5271000
2020-01-30,124.790001,126.059998,124.419998,125.949997,116.227615,5894400
2020-01-31,125.989998,126.949997,124.459999,124.620003,115.000282,6612900
2020-02-03,124.660004,125.949997,124.489998,125.110001,115.452461,6052300
2020-02-04,125.709999,127.349998,125.360001,125.660004,115.959991,6512200
2020-02-05,125.910004,127.059998,125.400002,126.809998,117.021217,6125400
2020-02-06,126.900002,128.089996,126.599998,127.139999,117.325745,9102700
2020-02-07,127.190002,127.269997,126.050003,126.080002,116.347588,5915100
2020-02-10,126.459999,126.830002,125.760002,126.169998,116.430626,5216100
2020-02-11,126.269997,126.269997,124.029999,124.160004,114.575798,6105700
2020-02-12,123.680000,123.970001,122.849998,123.449997,113.920586,6031700
2020-02-13,123.730003,125.279999,123.519997,124.959999,115.314026,7159000
2020-02-14,125.290001,126.150002,124.790001,126.139999,116.402946,5889100
2020-02-18,125.830002,126.180000,124.830002,124.870003,115.230972,6767600
2020-02-19,124.849998,126.470001,124.650002,125.440002,115.756981,4734000
2020-02-20,125.470001,126.760002,125.129997,126.580002,116.808983,6094600
2020-02-21,126.129997,128.070007,125.980003,126.699997,116.919708,8723900
2020-02-24,125.260002,126.589996,123.139999,123.300003,113.782166,7533900
2020-02-25,123.019997,123.959999,120.879997,121.430000,112.056519,8903200
2020-02-26,121.419998,122.389999,119.849998,120.160004,110.884567,6894200
2020-02-27,119.120003,119.919998,113.430000,113.500000,104.738670,13298900
2020-02-28,109.459999,113.230003,106.669998,113.230003,104.489502,22784300
2020-03-02,113.190002,119.790001,112.550003,119.559998,110.330864,12399800
2020-03-03,119.730003,121.839996,117.139999,118.169998,109.048172,12510900
2020-03-04,119.879997,124.690002,119.599998,124.500000,114.889534,9459300
2020-03-05,121.300003,122.900002,120.279999,121.629997,112.241066,9363500
2020-03-06,118.029999,122.610001,117.550003,121.660004,112.268745,9817400
2020-03-09,115.269997,120.029999,115.120003,116.059998,107.101028,13116500
2020-03-10,118.959999,120.820000,114.440002,120.550003,111.244469,11419100
